"chrom"	"start"	"end"	"pfam_id"	"domain_len"	"msa_pos"	"gene_symbol"	"hmc"
17	41197798	41197799	"PF00533"	477	446	"BRCA1"	1.512
17	41197799	41197800	"PF00533"	477	438	"BRCA1"	1.823
17	41197800	41197801	"PF00533"	477	438	"BRCA1"	1.823
17	41197801	41197802	"PF00533"	477	438	"BRCA1"	1.823
17	41197802	41197803	"PF00533"	477	428	"BRCA1"	1.859
17	41197803	41197804	"PF00533"	477	428	"BRCA1"	1.859
17	41197804	41197805	"PF00533"	477	428	"BRCA1"	1.859
17	41197805	41197806	"PF00533"	477	422	"BRCA1"	1.468
17	41197806	41197807	"PF00533"	477	422	"BRCA1"	1.468
17	41197807	41197808	"PF00533"	477	422	"BRCA1"	1.468
17	41197808	41197809	"PF00533"	477	413	"BRCA1"	1.65
17	41197809	41197810	"PF00533"	477	413	"BRCA1"	1.65
17	41197810	41197811	"PF00533"	477	413	"BRCA1"	1.65
17	41197812	41197813	"PF00533"	477	407	"BRCA1"	1.232
17	41197813	41197814	"PF00533"	477	407	"BRCA1"	1.232
17	41197814	41197815	"PF00533"	477	404	"BRCA1"	1.45
17	41197815	41197816	"PF00533"	477	404	"BRCA1"	1.45
17	41197816	41197817	"PF00533"	477	404	"BRCA1"	1.45
17	41197818	41197819	"PF00533"	477	401	"BRCA1"	1.893
17	41199659	41199660	"PF00533"	477	401	"BRCA1"	1.893
17	41199660	41199661	"PF00533"	477	397	"BRCA1"	1.87
17	41199661	41199662	"PF00533"	477	397	"BRCA1"	1.87
17	41199662	41199663	"PF00533"	477	397	"BRCA1"	1.87
17	41199663	41199664	"PF00533"	477	330	"BRCA1"	1.145
17	41199664	41199665	"PF00533"	477	330	"BRCA1"	1.145
17	41199665	41199666	"PF00533"	477	330	"BRCA1"	1.145
17	41199667	41199668	"PF00533"	477	329	"BRCA1"	1.499
17	41199668	41199669	"PF00533"	477	329	"BRCA1"	1.499
17	41199669	41199670	"PF00533"	477	327	"BRCA1"	1.376
17	41199670	41199671	"PF00533"	477	327	"BRCA1"	1.376
17	41199671	41199672	"PF00533"	477	327	"BRCA1"	1.376
17	41199672	41199673	"PF00533"	477	326	"BRCA1"	1.504
17	41199673	41199674	"PF00533"	477	326	"BRCA1"	1.504
17	41199674	41199675	"PF00533"	477	326	"BRCA1"	1.504
17	41199675	41199676	"PF00533"	477	325	"BRCA1"	1.423
17	41199676	41199677	"PF00533"	477	325	"BRCA1"	1.423
17	41199677	41199678	"PF00533"	477	325	"BRCA1"	1.423
17	41199691	41199692	"PF00533"	477	258	"BRCA1"	1.679
17	41199692	41199693	"PF00533"	477	258	"BRCA1"	1.679
17	41199693	41199694	"PF00533"	477	257	"BRCA1"	1.697
17	41199694	41199695	"PF00533"	477	257	"BRCA1"	1.697
17	41199695	41199696	"PF00533"	477	257	"BRCA1"	1.697
17	41199697	41199698	"PF00533"	477	256	"BRCA1"	1.534
17	41199698	41199699	"PF00533"	477	256	"BRCA1"	1.534
17	41199700	41199701	"PF00533"	477	255	"BRCA1"	1.199
17	41199701	41199702	"PF00533"	477	255	"BRCA1"	1.199
17	41199703	41199704	"PF00533"	477	246	"BRCA1"	1.356
17	41199704	41199705	"PF00533"	477	246	"BRCA1"	1.356
17	41199705	41199706	"PF00533"	477	245	"BRCA1"	1.503
17	41199706	41199707	"PF00533"	477	245	"BRCA1"	1.503
17	41199707	41199708	"PF00533"	477	245	"BRCA1"	1.503
17	41199709	41199710	"PF00533"	477	242	"BRCA1"	1.163
17	41199710	41199711	"PF00533"	477	242	"BRCA1"	1.163
17	41199711	41199712	"PF00533"	477	239	"BRCA1"	0.946
17	41199712	41199713	"PF00533"	477	239	"BRCA1"	0.946
17	41199713	41199714	"PF00533"	477	239	"BRCA1"	0.946
17	41199715	41199716	"PF00533"	477	234	"BRCA1"	1.506
17	41199716	41199717	"PF00533"	477	234	"BRCA1"	1.506
17	41199718	41199719	"PF00533"	477	229	"BRCA1"	1.504
17	41199719	41199720	"PF00533"	477	229	"BRCA1"	1.504
17	41201138	41201139	"PF00533"	477	225	"BRCA1"	1.577
17	41201139	41201140	"PF00533"	477	225	"BRCA1"	1.577
17	41201141	41201142	"PF00533"	477	222	"BRCA1"	1.71
17	41201142	41201143	"PF00533"	477	222	"BRCA1"	1.71
17	41201144	41201145	"PF00533"	477	217	"BRCA1"	1.759
17	41201145	41201146	"PF00533"	477	217	"BRCA1"	1.759
17	41201147	41201148	"PF00533"	477	216	"BRCA1"	1.59
17	41201148	41201149	"PF00533"	477	216	"BRCA1"	1.59
17	41201149	41201150	"PF00533"	477	213	"BRCA1"	1.123
17	41201150	41201151	"PF00533"	477	213	"BRCA1"	1.123
17	41201151	41201152	"PF00533"	477	213	"BRCA1"	1.123
17	41201153	41201154	"PF00533"	477	212	"BRCA1"	1.563
17	41201154	41201155	"PF00533"	477	212	"BRCA1"	1.563
17	41201171	41201172	"PF00533"	477	112	"BRCA1"	1.713
17	41201172	41201173	"PF00533"	477	112	"BRCA1"	1.713
17	41201174	41201175	"PF00533"	477	110	"BRCA1"	1.813
17	41201175	41201176	"PF00533"	477	110	"BRCA1"	1.813
17	41201177	41201178	"PF00533"	477	108	"BRCA1"	1.243
17	41201178	41201179	"PF00533"	477	108	"BRCA1"	1.243
17	41201180	41201181	"PF00533"	477	106	"BRCA1"	1.442
17	41201181	41201182	"PF00533"	477	106	"BRCA1"	1.442
17	41201182	41201183	"PF00533"	477	102	"BRCA1"	1.28
17	41201183	41201184	"PF00533"	477	102	"BRCA1"	1.28
17	41201184	41201185	"PF00533"	477	102	"BRCA1"	1.28
17	41201186	41201187	"PF00533"	477	100	"BRCA1"	1.856
17	41201187	41201188	"PF00533"	477	100	"BRCA1"	1.856
17	41201188	41201189	"PF00533"	477	97	"BRCA1"	1.825
17	41201189	41201190	"PF00533"	477	97	"BRCA1"	1.825
17	41201190	41201191	"PF00533"	477	97	"BRCA1"	1.825
17	41201192	41201193	"PF00533"	477	93	"BRCA1"	1.826
17	41201193	41201194	"PF00533"	477	93	"BRCA1"	1.826
17	41201194	41201195	"PF00533"	477	89	"BRCA1"	1.675
17	41201195	41201196	"PF00533"	477	89	"BRCA1"	1.675
17	41201196	41201197	"PF00533"	477	89	"BRCA1"	1.675
17	41201197	41201198	"PF00533"	477	88	"BRCA1"	1.75
17	41201198	41201199	"PF00533"	477	88	"BRCA1"	1.75
17	41201199	41201200	"PF00533"	477	88	"BRCA1"	1.75
17	41201200	41201201	"PF00533"	477	87	"BRCA1"	1.55
17	41201201	41201202	"PF00533"	477	87	"BRCA1"	1.55
17	41201202	41201203	"PF00533"	477	87	"BRCA1"	1.55
17	41201204	41201205	"PF00533"	477	66	"BRCA1"	1.85
17	41201205	41201206	"PF00533"	477	66	"BRCA1"	1.85
17	41201206	41201207	"PF00533"	477	65	"BRCA1"	1.94
17	41201207	41201208	"PF00533"	477	65	"BRCA1"	1.94
17	41201208	41201209	"PF00533"	477	65	"BRCA1"	1.94
17	41201209	41201210	"PF00533"	477	62	"BRCA1"	1.598
17	41201210	41201211	"PF00533"	477	62	"BRCA1"	1.598
17	41203079	41203080	"PF00533"	477	62	"BRCA1"	1.598
17	41203081	41203082	"PF00533"	477	59	"BRCA1"	1.717
17	41203082	41203083	"PF00533"	477	59	"BRCA1"	1.717
17	41203084	41203085	"PF00533"	477	54	"BRCA1"	1.88
17	41203085	41203086	"PF00533"	477	54	"BRCA1"	1.88
17	41203086	41203087	"PF00533"	477	48	"BRCA1"	1.261
17	41203087	41203088	"PF00533"	477	48	"BRCA1"	1.261
17	41203088	41203089	"PF00533"	477	48	"BRCA1"	1.261
17	41203089	41203090	"PF00533"	477	43	"BRCA1"	1.896
17	41203090	41203091	"PF00533"	477	43	"BRCA1"	1.896
17	41203091	41203092	"PF00533"	477	43	"BRCA1"	1.896
17	41203093	41203094	"PF00533"	477	40	"BRCA1"	1.737
17	41203094	41203095	"PF00533"	477	40	"BRCA1"	1.737
17	41203095	41203096	"PF00533"	477	36	"BRCA1"	1.801
17	41203096	41203097	"PF00533"	477	36	"BRCA1"	1.801
17	41203097	41203098	"PF00533"	477	36	"BRCA1"	1.801
17	41203099	41203100	"PF00533"	477	32	"BRCA1"	1.28
17	41203100	41203101	"PF00533"	477	32	"BRCA1"	1.28
17	41203102	41203103	"PF00533"	477	30	"BRCA1"	1.403
17	41203103	41203104	"PF00533"	477	30	"BRCA1"	1.403
17	41203107	41203108	"PF00533"	477	14	"BRCA1"	1.305
17	41203108	41203109	"PF00533"	477	14	"BRCA1"	1.305
17	41203109	41203110	"PF00533"	477	14	"BRCA1"	1.305
17	41203110	41203111	"PF00533"	477	13	"BRCA1"	1.571
17	41203111	41203112	"PF00533"	477	13	"BRCA1"	1.571
17	41203112	41203113	"PF00533"	477	13	"BRCA1"	1.571
17	41203113	41203114	"PF00533"	477	12	"BRCA1"	1.541
17	41203114	41203115	"PF00533"	477	12	"BRCA1"	1.541
17	41203115	41203116	"PF00533"	477	12	"BRCA1"	1.541
17	41203116	41203117	"PF00533"	477	11	"BRCA1"	1.642
17	41203117	41203118	"PF00533"	477	11	"BRCA1"	1.642
17	41203118	41203119	"PF00533"	477	11	"BRCA1"	1.642
17	41203120	41203121	"PF00533"	477	9	"BRCA1"	1.234
17	41203121	41203122	"PF00533"	477	9	"BRCA1"	1.234
17	41203123	41203124	"PF00533"	477	8	"BRCA1"	1.169
17	41203124	41203125	"PF00533"	477	8	"BRCA1"	1.169
17	41203125	41203126	"PF00533"	477	7	"BRCA1"	1.685
17	41203126	41203127	"PF00533"	477	7	"BRCA1"	1.685
17	41203127	41203128	"PF00533"	477	7	"BRCA1"	1.685
17	41203128	41203129	"PF00533"	477	6	"BRCA1"	1.578
17	41203129	41203130	"PF00533"	477	6	"BRCA1"	1.578
17	41203130	41203131	"PF00533"	477	6	"BRCA1"	1.578
17	41203131	41203132	"PF00533"	477	5	"BRCA1"	1.727
17	41203132	41203133	"PF00533"	477	5	"BRCA1"	1.727
17	41203133	41203134	"PF00533"	477	5	"BRCA1"	1.727
17	41209068	41209069	"PF00533"	477	4	"BRCA1"	1.889
17	41209069	41209070	"PF00533"	477	4	"BRCA1"	1.889
17	41209070	41209071	"PF00533"	477	4	"BRCA1"	1.889
17	41209071	41209072	"PF00533"	477	3	"BRCA1"	1.797
17	41209072	41209073	"PF00533"	477	3	"BRCA1"	1.797
17	41209073	41209074	"PF00533"	477	3	"BRCA1"	1.797
17	41215373	41215374	"PF00533"	477	477	"BRCA1"	1.354
17	41215374	41215375	"PF00533"	477	477	"BRCA1"	1.354
17	41215375	41215376	"PF00533"	477	477	"BRCA1"	1.354
17	41215377	41215378	"PF00533"	477	476	"BRCA1"	1.332
17	41215378	41215379	"PF00533"	477	476	"BRCA1"	1.332
17	41215379	41215380	"PF00533"	477	475	"BRCA1"	1.71
17	41215380	41215381	"PF00533"	477	475	"BRCA1"	1.71
17	41215381	41215382	"PF00533"	477	475	"BRCA1"	1.71
17	41215383	41215384	"PF00533"	477	474	"BRCA1"	1.739
17	41215384	41215385	"PF00533"	477	474	"BRCA1"	1.739
17	41215386	41215387	"PF00533"	477	473	"BRCA1"	1.155
17	41215387	41215388	"PF00533"	477	473	"BRCA1"	1.155
17	41215388	41215389	"PF00533"	477	472	"BRCA1"	1.09
17	41215389	41215390	"PF00533"	477	472	"BRCA1"	1.09
17	41215890	41215891	"PF00533"	477	472	"BRCA1"	1.09
17	41215891	41215892	"PF00533"	477	471	"BRCA1"	1.82
17	41215892	41215893	"PF00533"	477	471	"BRCA1"	1.82
17	41215893	41215894	"PF00533"	477	471	"BRCA1"	1.82
17	41215895	41215896	"PF00533"	477	468	"BRCA1"	1.837
17	41215896	41215897	"PF00533"	477	468	"BRCA1"	1.837
17	41215897	41215898	"PF00533"	477	466	"BRCA1"	1.307
17	41215898	41215899	"PF00533"	477	466	"BRCA1"	1.307
17	41215899	41215900	"PF00533"	477	466	"BRCA1"	1.307
17	41215901	41215902	"PF00533"	477	463	"BRCA1"	1.482
17	41215902	41215903	"PF00533"	477	463	"BRCA1"	1.482
17	41215904	41215905	"PF00533"	477	457	"BRCA1"	1.752
17	41215905	41215906	"PF00533"	477	457	"BRCA1"	1.752
17	41215906	41215907	"PF00533"	477	451	"BRCA1"	1.676
17	41215907	41215908	"PF00533"	477	451	"BRCA1"	1.676
17	41215908	41215909	"PF00533"	477	451	"BRCA1"	1.676
17	41215909	41215910	"PF00533"	477	446	"BRCA1"	1.512
17	41215910	41215911	"PF00533"	477	446	"BRCA1"	1.512
17	41215911	41215912	"PF00533"	477	446	"BRCA1"	1.512
17	41215913	41215914	"PF00533"	477	438	"BRCA1"	1.823
17	41215914	41215915	"PF00533"	477	438	"BRCA1"	1.823
17	41215916	41215917	"PF00533"	477	428	"BRCA1"	1.859
17	41215917	41215918	"PF00533"	477	428	"BRCA1"	1.859
17	41215919	41215920	"PF00533"	477	422	"BRCA1"	1.468
17	41215920	41215921	"PF00533"	477	422	"BRCA1"	1.468
17	41215921	41215922	"PF00533"	477	413	"BRCA1"	1.65
17	41215922	41215923	"PF00533"	477	413	"BRCA1"	1.65
17	41215923	41215924	"PF00533"	477	413	"BRCA1"	1.65
17	41215925	41215926	"PF00533"	477	407	"BRCA1"	1.232
17	41215926	41215927	"PF00533"	477	407	"BRCA1"	1.232
17	41215928	41215929	"PF00533"	477	404	"BRCA1"	1.45
17	41215929	41215930	"PF00533"	477	404	"BRCA1"	1.45
17	41215930	41215931	"PF00533"	477	401	"BRCA1"	1.893
17	41215931	41215932	"PF00533"	477	401	"BRCA1"	1.893
17	41215932	41215933	"PF00533"	477	401	"BRCA1"	1.893
17	41215934	41215935	"PF00533"	477	397	"BRCA1"	1.87
17	41215935	41215936	"PF00533"	477	397	"BRCA1"	1.87
17	41215936	41215937	"PF00533"	477	330	"BRCA1"	1.145
17	41215937	41215938	"PF00533"	477	330	"BRCA1"	1.145
17	41215938	41215939	"PF00533"	477	330	"BRCA1"	1.145
17	41215940	41215941	"PF00533"	477	329	"BRCA1"	1.499
17	41215941	41215942	"PF00533"	477	329	"BRCA1"	1.499
17	41215943	41215944	"PF00533"	477	327	"BRCA1"	1.376
17	41215944	41215945	"PF00533"	477	327	"BRCA1"	1.376
17	41215946	41215947	"PF00533"	477	326	"BRCA1"	1.504
17	41215947	41215948	"PF00533"	477	326	"BRCA1"	1.504
17	41215948	41215949	"PF00533"	477	325	"BRCA1"	1.423
17	41215949	41215950	"PF00533"	477	325	"BRCA1"	1.423
17	41215950	41215951	"PF00533"	477	325	"BRCA1"	1.423
17	41215966	41215967	"PF00533"	477	258	"BRCA1"	1.679
17	41215967	41215968	"PF00533"	477	258	"BRCA1"	1.679
17	41219624	41219625	"PF00533"	477	258	"BRCA1"	1.679
17	41219626	41219627	"PF00533"	477	257	"BRCA1"	1.697
17	41219627	41219628	"PF00533"	477	257	"BRCA1"	1.697
17	41219628	41219629	"PF00533"	477	256	"BRCA1"	1.534
17	41219629	41219630	"PF00533"	477	256	"BRCA1"	1.534
17	41219630	41219631	"PF00533"	477	256	"BRCA1"	1.534
17	41219631	41219632	"PF00533"	477	255	"BRCA1"	1.199
17	41219632	41219633	"PF00533"	477	255	"BRCA1"	1.199
17	41219633	41219634	"PF00533"	477	255	"BRCA1"	1.199
17	41219635	41219636	"PF00533"	477	246	"BRCA1"	1.356
17	41219636	41219637	"PF00533"	477	246	"BRCA1"	1.356
17	41219638	41219639	"PF00533"	477	245	"BRCA1"	1.503
17	41219639	41219640	"PF00533"	477	245	"BRCA1"	1.503
17	41219640	41219641	"PF00533"	477	242	"BRCA1"	1.163
17	41219641	41219642	"PF00533"	477	242	"BRCA1"	1.163
17	41219642	41219643	"PF00533"	477	242	"BRCA1"	1.163
17	41219644	41219645	"PF00533"	477	239	"BRCA1"	0.946
17	41219645	41219646	"PF00533"	477	239	"BRCA1"	0.946
17	41219647	41219648	"PF00533"	477	234	"BRCA1"	1.506
17	41219648	41219649	"PF00533"	477	234	"BRCA1"	1.506
17	41219649	41219650	"PF00533"	477	229	"BRCA1"	1.504
17	41219650	41219651	"PF00533"	477	229	"BRCA1"	1.504
17	41219651	41219652	"PF00533"	477	229	"BRCA1"	1.504
17	41219652	41219653	"PF00533"	477	225	"BRCA1"	1.577
17	41219653	41219654	"PF00533"	477	225	"BRCA1"	1.577
17	41219654	41219655	"PF00533"	477	225	"BRCA1"	1.577
17	41219656	41219657	"PF00533"	477	222	"BRCA1"	1.71
17	41219657	41219658	"PF00533"	477	222	"BRCA1"	1.71
17	41219658	41219659	"PF00533"	477	217	"BRCA1"	1.759
17	41219659	41219660	"PF00533"	477	217	"BRCA1"	1.759
17	41219660	41219661	"PF00533"	477	217	"BRCA1"	1.759
17	41219662	41219663	"PF00533"	477	216	"BRCA1"	1.59
17	41219663	41219664	"PF00533"	477	216	"BRCA1"	1.59
17	41219664	41219665	"PF00533"	477	213	"BRCA1"	1.123
17	41219665	41219666	"PF00533"	477	213	"BRCA1"	1.123
17	41219666	41219667	"PF00533"	477	213	"BRCA1"	1.123
17	41219668	41219669	"PF00533"	477	212	"BRCA1"	1.563
17	41219669	41219670	"PF00533"	477	212	"BRCA1"	1.563
17	41219670	41219671	"PF00533"	477	112	"BRCA1"	1.713
17	41219671	41219672	"PF00533"	477	112	"BRCA1"	1.713
17	41219672	41219673	"PF00533"	477	112	"BRCA1"	1.713
17	41219674	41219675	"PF00533"	477	110	"BRCA1"	1.813
17	41219675	41219676	"PF00533"	477	110	"BRCA1"	1.813
17	41219676	41219677	"PF00533"	477	108	"BRCA1"	1.243
17	41219677	41219678	"PF00533"	477	108	"BRCA1"	1.243
17	41219678	41219679	"PF00533"	477	108	"BRCA1"	1.243
17	41219679	41219680	"PF00533"	477	106	"BRCA1"	1.442
17	41219680	41219681	"PF00533"	477	106	"BRCA1"	1.442
17	41219681	41219682	"PF00533"	477	106	"BRCA1"	1.442
17	41219682	41219683	"PF00533"	477	102	"BRCA1"	1.28
17	41219683	41219684	"PF00533"	477	102	"BRCA1"	1.28
17	41219684	41219685	"PF00533"	477	102	"BRCA1"	1.28
17	41219685	41219686	"PF00533"	477	100	"BRCA1"	1.856
17	41219686	41219687	"PF00533"	477	100	"BRCA1"	1.856
17	41219687	41219688	"PF00533"	477	100	"BRCA1"	1.856
17	41219688	41219689	"PF00533"	477	97	"BRCA1"	1.825
17	41219689	41219690	"PF00533"	477	97	"BRCA1"	1.825
17	41219690	41219691	"PF00533"	477	97	"BRCA1"	1.825
17	41219692	41219693	"PF00533"	477	93	"BRCA1"	1.826
17	41219693	41219694	"PF00533"	477	93	"BRCA1"	1.826
17	41219694	41219695	"PF00533"	477	89	"BRCA1"	1.675
17	41219695	41219696	"PF00533"	477	89	"BRCA1"	1.675
17	41219696	41219697	"PF00533"	477	89	"BRCA1"	1.675
17	41219697	41219698	"PF00533"	477	88	"BRCA1"	1.75
17	41219698	41219699	"PF00533"	477	88	"BRCA1"	1.75
17	41219699	41219700	"PF00533"	477	88	"BRCA1"	1.75
17	41219701	41219702	"PF00533"	477	87	"BRCA1"	1.55
17	41219702	41219703	"PF00533"	477	87	"BRCA1"	1.55
17	41222944	41222945	"PF00533"	477	66	"BRCA1"	1.85
17	41222945	41222946	"PF00533"	477	66	"BRCA1"	1.85
17	41222946	41222947	"PF00533"	477	66	"BRCA1"	1.85
17	41222947	41222948	"PF00533"	477	65	"BRCA1"	1.94
17	41222948	41222949	"PF00533"	477	65	"BRCA1"	1.94
17	41222949	41222950	"PF00533"	477	65	"BRCA1"	1.94
17	41258474	41258475	"PF13920"	183	182	"BRCA1"	1.33
17	41258475	41258476	"PF13920"	183	182	"BRCA1"	1.33
17	41258476	41258477	"PF13920"	183	182	"BRCA1"	1.33
17	41258478	41258479	"PF13920"	183	181	"BRCA1"	1.505
17	41258479	41258480	"PF13920"	183	181	"BRCA1"	1.505
17	41258480	41258481	"PF13920"	183	180	"BRCA1"	0.786
17	41258481	41258482	"PF13920"	183	180	"BRCA1"	0.786
17	41258482	41258483	"PF13920"	183	180	"BRCA1"	0.786
17	41258483	41258484	"PF13920"	183	179	"BRCA1"	1.255
17	41258484	41258485	"PF13920"	183	179	"BRCA1"	1.255
17	41258485	41258486	"PF13920"	183	179	"BRCA1"	1.255
17	41258486	41258487	"PF13920"	183	178	"BRCA1"	1.087
17	41258487	41258488	"PF13920"	183	178	"BRCA1"	1.087
17	41258488	41258489	"PF13920"	183	178	"BRCA1"	1.087
17	41258489	41258490	"PF13920"	183	177	"BRCA1"	1.078
17	41258490	41258491	"PF13920"	183	177	"BRCA1"	1.078
17	41258491	41258492	"PF13920"	183	177	"BRCA1"	1.078
17	41258492	41258493	"PF00097"	220	220	"BRCA1"	0.637
17	41258492	41258493	"PF13920"	183	176	"BRCA1"	0.752
17	41258492	41258493	"PF13923"	261	261	"BRCA1"	0.616
17	41258493	41258494	"PF00097"	220	220	"BRCA1"	0.637
17	41258493	41258494	"PF13920"	183	176	"BRCA1"	0.752
17	41258493	41258494	"PF13923"	261	261	"BRCA1"	0.616
17	41258494	41258495	"PF00097"	220	220	"BRCA1"	0.637
17	41258494	41258495	"PF13920"	183	176	"BRCA1"	0.752
17	41258494	41258495	"PF13923"	261	261	"BRCA1"	0.616
17	41258495	41258496	"PF00097"	220	219	"BRCA1"	1.277
17	41258495	41258496	"PF13920"	183	172	"BRCA1"	1.286
17	41258495	41258496	"PF13923"	261	260	"BRCA1"	1.24
17	41258496	41258497	"PF00097"	220	219	"BRCA1"	1.277
17	41258496	41258497	"PF13920"	183	172	"BRCA1"	1.286
17	41258496	41258497	"PF13923"	261	260	"BRCA1"	1.24
17	41258497	41258498	"PF00097"	220	219	"BRCA1"	1.277
17	41258497	41258498	"PF13920"	183	172	"BRCA1"	1.286
17	41258497	41258498	"PF13923"	261	260	"BRCA1"	1.24
17	41258499	41258500	"PF00097"	220	218	"BRCA1"	0.808
17	41258499	41258500	"PF13445"	207	207	"BRCA1"	0.879
17	41258499	41258500	"PF13920"	183	171	"BRCA1"	0.95
17	41258499	41258500	"PF13923"	261	259	"BRCA1"	0.769
17	41258500	41258501	"PF00097"	220	218	"BRCA1"	0.808
17	41258500	41258501	"PF13445"	207	207	"BRCA1"	0.879
17	41258500	41258501	"PF13920"	183	171	"BRCA1"	0.95
17	41258500	41258501	"PF13923"	261	259	"BRCA1"	0.769
17	41258501	41258502	"PF00097"	220	217	"BRCA1"	0.684
17	41258501	41258502	"PF13445"	207	206	"BRCA1"	0.865
17	41258501	41258502	"PF13920"	183	168	"BRCA1"	0.788
17	41258501	41258502	"PF13923"	261	256	"BRCA1"	0.604
17	41258502	41258503	"PF00097"	220	217	"BRCA1"	0.684
17	41258502	41258503	"PF13445"	207	206	"BRCA1"	0.865
17	41258502	41258503	"PF13920"	183	168	"BRCA1"	0.788
17	41258502	41258503	"PF13923"	261	256	"BRCA1"	0.604
17	41258503	41258504	"PF00097"	220	217	"BRCA1"	0.684
17	41258503	41258504	"PF13445"	207	206	"BRCA1"	0.865
17	41258503	41258504	"PF13920"	183	168	"BRCA1"	0.788
17	41258503	41258504	"PF13923"	261	256	"BRCA1"	0.604
17	41258504	41258505	"PF00097"	220	210	"BRCA1"	1.14
17	41258504	41258505	"PF13445"	207	205	"BRCA1"	1.185
17	41258504	41258505	"PF13920"	183	163	"BRCA1"	1.247
17	41258504	41258505	"PF13923"	261	247	"BRCA1"	1.17
17	41258505	41258506	"PF00097"	220	210	"BRCA1"	1.14
17	41258505	41258506	"PF13445"	207	205	"BRCA1"	1.185
17	41258505	41258506	"PF13920"	183	163	"BRCA1"	1.247
17	41258505	41258506	"PF13923"	261	247	"BRCA1"	1.17
17	41258506	41258507	"PF00097"	220	210	"BRCA1"	1.14
17	41258506	41258507	"PF13445"	207	205	"BRCA1"	1.185
17	41258506	41258507	"PF13920"	183	163	"BRCA1"	1.247
17	41258506	41258507	"PF13923"	261	247	"BRCA1"	1.17
17	41258508	41258509	"PF00097"	220	209	"BRCA1"	0.974
17	41258508	41258509	"PF13445"	207	203	"BRCA1"	1.168
17	41258508	41258509	"PF13920"	183	162	"BRCA1"	1.149
17	41258508	41258509	"PF13923"	261	246	"BRCA1"	1.404
17	41258509	41258510	"PF00097"	220	209	"BRCA1"	0.974
17	41258509	41258510	"PF13445"	207	203	"BRCA1"	1.168
17	41258509	41258510	"PF13920"	183	162	"BRCA1"	1.149
17	41258509	41258510	"PF13923"	261	246	"BRCA1"	1.404
17	41258511	41258512	"PF00097"	220	207	"BRCA1"	1.162
17	41258511	41258512	"PF13445"	207	202	"BRCA1"	1.256
17	41258511	41258512	"PF13920"	183	161	"BRCA1"	1.221
17	41258512	41258513	"PF00097"	220	207	"BRCA1"	1.162
17	41258512	41258513	"PF13445"	207	202	"BRCA1"	1.256
17	41258512	41258513	"PF13920"	183	161	"BRCA1"	1.221
17	41258514	41258515	"PF00097"	220	206	"BRCA1"	1.136
17	41258514	41258515	"PF13445"	207	201	"BRCA1"	1.458
17	41258514	41258515	"PF13920"	183	160	"BRCA1"	1.249
17	41258514	41258515	"PF13923"	261	241	"BRCA1"	1.826
17	41258515	41258516	"PF00097"	220	206	"BRCA1"	1.136
17	41258515	41258516	"PF13445"	207	201	"BRCA1"	1.458
17	41258515	41258516	"PF13920"	183	160	"BRCA1"	1.249
17	41258515	41258516	"PF13923"	261	241	"BRCA1"	1.826
17	41258516	41258517	"PF00097"	220	205	"BRCA1"	1.471
17	41258516	41258517	"PF13445"	207	200	"BRCA1"	1.225
17	41258516	41258517	"PF13920"	183	159	"BRCA1"	1.393
17	41258516	41258517	"PF13923"	261	240	"BRCA1"	1.111
17	41258517	41258518	"PF00097"	220	205	"BRCA1"	1.471
17	41258517	41258518	"PF13445"	207	200	"BRCA1"	1.225
17	41258517	41258518	"PF13920"	183	159	"BRCA1"	1.393
